"id" "father.id" "mother.id" "sex"
"1" 1 0 0 1
"2" 2 0 0 1
"3" 3 0 0 2
"4" 4 0 0 2
"5" 5 0 0 1
"6" 6 7 3 2
"7" 7 0 0 1
"8" 8 0 0 2
"9" 9 5 4 2
"10" 10 0 0 1
"11" 11 79 65 1
"12" 12 0 0 1
"13" 13 5 4 2
"14" 14 0 0 2
"15" 15 61 60 2
"16" 16 0 0 1
"17" 17 11 13 1
"18" 18 61 60 1
"19" 19 20 9 2
"20" 20 1 14 1
"21" 21 11 13 1
"22" 22 24 15 1
"23" 23 20 9 1
"24" 24 75 74 1
"25" 25 20 9 2
"26" 26 18 6 1
"27" 27 68 67 1
"28" 28 57 69 2
"29" 29 26 25 1
"30" 30 0 0 2
"31" 31 0 0 1
"32" 32 16 76 2
"33" 33 27 39 1
"34" 34 33 19 1
"35" 35 33 19 2
"36" 36 23 28 1
"37" 37 26 25 2
"38" 38 52 32 2
"39" 39 2 66 2
"40" 40 33 19 1
"41" 41 31 8 1
"42" 42 12 63 1
"43" 43 26 25 2
"44" 44 42 55 2
"45" 45 23 28 1
"46" 46 33 19 1
"47" 47 22 38 2
"48" 48 41 59 2
"49" 49 21 44 1
"50" 50 21 44 1
"51" 51 22 38 1
"52" 52 10 77 1
"53" 53 23 28 2
"54" 54 21 44 2
"55" 55 64 62 2
"56" 56 17 48 1
"57" 57 71 73 1
"58" 58 17 48 1
"59" 59 78 30 2
"60" 60 0 0 2
"61" 61 0 0 1
"62" 62 0 0 2
"63" 63 0 0 2
"64" 64 0 0 1
"65" 65 0 0 2
"66" 66 0 0 2
"67" 67 0 0 2
"68" 68 0 0 1
"69" 69 72 70 2
"70" 70 0 0 2
"71" 71 0 0 1
"72" 72 0 0 1
"73" 73 0 0 2
"74" 74 0 0 2
"75" 75 0 0 1
"76" 76 0 0 2
"77" 77 0 0 2
"78" 78 0 0 1
"79" 79 0 0 1
